customer_id,avg_utilization,utilization_trend,on_time_months,max_delinquency,delinquency_drift,consecutive_delays,payment_ratio,balance_volatility
1,0.0642,-0.042228571428571435,4,2,4,2,0.03701912744465936,1761.6332194869624
2,0.023718055555555558,0.0020654761904761905,4,2,3,1,0.3119164158909225,637.9678414047738
3,0.1882462962962963,-0.020607936507936516,6,0,0,0,0.11514113412166051,6064.51859315038
4,0.7711133333333332,-0.09486514285714283,6,0,0,0,0.03639590847396764,10565.793518078359
5,0.36446333333333336,0.044630285714285726,6,0,1,0,1.2469577475112326,10668.590073981974
6,0.7937133333333334,-0.21282514285714282,6,0,0,0,0.03741892364284068,22068.949070281225
7,0.9081983333333333,0.04802748571428571,6,0,0,0,0.07112713387967161,60569.29313246661
8,0.022476666666666662,-0.016726285714285725,6,0,1,0,1.160352041408884,4725.009107574997
9,0.07763333333333333,-0.00910938775510204,5,2,2,1,0.12770852845157613,3630.397921256934
10,0.224325,0.15511571428571425,6,-1,1,0,0.014376873990927961,6956.345297640133
11,0.0287225,-0.009087,5,2,3,1,0.40007341262466495,3863.01321509518
12,0.056646794871794866,0.0008172527472527474,5,2,3,1,0.9975526186268079,5895.637350335132
13,0.010848412698412697,-0.0021013605442176857,6,0,1,0,0.5873218575113607,2975.9478322040527
14,0.8063928571428572,-0.09679795918367347,2,2,2,3,0.030120522267388067,15453.61289472465
15,0.24906066666666668,-0.012719428571428566,6,0,0,0,0.048549988915615405,6004.421617996746
16,0.6547200000000001,-0.05730628571428576,4,2,2,2,0.03544696962875892,8786.707324134564
17,0.884675,0.027478571428571418,2,2,2,4,0.06438966180506246,1264.2065891301152
18,0.5031322916666667,-0.10134500000000009,6,0,1,0,5.735678794985463,100499.35287486516
19,0.0,0.0,5,1,3,1,0.0,0.0
20,0.0,0.0,5,1,3,1,0.0,0.0
21,0.15882435897435898,-0.052455164835164846,6,0,1,0,6.109290865510076,13000.086467661155
22,0.0026333333333333334,0.00015047619047619065,6,-1,0,0,0.4166666666666667,199.85594812264156
23,0.6320833333333334,0.01509836734693876,2,2,2,3,0.04243729702052309,2194.01890754539
24,0.009987037037037039,-0.005506857142857142,6,-2,0,0,0.6634499316395636,7600.219323589726
25,0.059007407407407404,0.006669206349206351,6,0,1,0,0.33309577586746497,2885.01720387707
26,0.7143166666666666,-0.07478228571428575,6,0,0,0,0.03692460025956102,7632.705560066277
27,-0.0010944444444444445,0.0004476190476190476,5,1,3,1,0.0,240.33864996430904
28,0.37422666666666665,-0.003157714285714296,6,0,0,0,0.06413434849731042,2247.160756747649
29,0.13402666666666668,0.04440228571428574,6,-1,0,0,3.6298460072907592,11700.590748618919
30,0.32360666666666665,-0.007905142857142874,6,0,0,0,0.06473771890601109,2579.187288016647
31,0.08242463768115943,0.0117495652173913,6,-1,0,0,1.0837119166993363,8922.787045910412
32,0.50623,-0.03014914285714285,5,2,2,1,0.0449132752409786,3732.203196504713
33,0.825395,-0.030074571428571444,6,0,0,0,0.0379096047821112,5969.376340958911
34,0.04191466666666666,0.01010971428571429,6,-2,0,0,3.577422358139923,25528.286387195418
35,0.019439333333333333,-0.004859885714285716,6,-2,0,0,1.1400895640343733,11431.275915953856
36,0.026366666666666663,-0.029502142857142866,6,-1,1,0,0.000721405363731483,12775.740709120028
37,0.6368910714285715,-0.007932959183673474,6,0,0,0,0.03912245090042404,5715.692880132731
38,0.08966388888888889,-0.048302380952381,6,0,1,0,0.07868267466734147,17082.189770830515
39,0.0026,-0.0013371428571428562,5,1,3,1,0.0,318.43366656181314
40,0.03073988095238095,0.00785030612244898,5,2,3,1,3.6311060221191442,5867.0824578035945
41,0.7642365740740741,0.01179388888888896,6,0,0,0,0.09532133003019656,173906.60401654293
42,0.9353714285714286,-0.006060408163265328,6,0,0,0,0.04920169053287992,1600.6006372609002
43,0.3793499999999999,0.03400285714285713,6,0,0,0,0.39228689314597914,1372.6774930769427
44,0.4584928571428572,0.014173469387755107,6,0,0,0,0.05194597367707051,3752.5750092436524
45,0.6132708333333334,0.04761500000000001,5,2,2,1,0.09754448238072506,3754.2210066359526
46,0.0,0.0,6,-2,0,0,0.0,0.0
47,0.6610666666666667,-0.09860857142857135,5,2,3,1,0.2156423909848282,6548.419890833717
48,0.01093,-0.005984190476190478,6,0,2,0,0.10210115024223439,1773.8976013287802
49,0.050357456140350886,-0.004874360902255635,6,-1,0,0,0.8936974313616406,7800.678263245233
50,0.9650833333333333,0.02781714285714285,6,0,0,0,0.054563454193003104,1134.2313109179568
51,0.5452666666666667,0.008217142857142819,1,2,2,5,0.035792845593931984,1306.3378838059725
52,0.441975,-0.05483228571428574,6,0,0,0,0.0367665991747932,10600.682595946357
53,0.023723118279569893,-0.006856129032258063,6,-2,0,0,0.5783998887471031,4781.898510703324
54,0.23995462962962963,0.004503333333333334,4,2,2,2,0.03955756341416054,1525.0044480809445
55,0.19638999999999998,-0.037178857142857125,5,2,2,1,0.09516531783884703,10601.763395775251
56,0.002796,-0.0004288000000000004,6,-2,0,0,3.1183722561297262,1523.295506459597
57,0.05129999999999999,-0.014450793650793655,6,0,1,0,0.306276957755415,6297.269821120896
58,0.8818166666666668,-0.056706984126984154,6,0,0,0,0.03545636379388261,21570.885368941166
59,0.0056225,-0.00023928571428571426,1,3,4,5,0.43490439654122515,345.7303862838787
60,0.9517249999999998,-0.02505957142857145,6,0,0,0,0.047419642358731785,22512.981535105475
61,0.03656633333333334,-0.003986228571428574,6,0,0,0,0.08572595534963796,4201.8060600968565
62,0.5815285714285715,-0.23557632653061225,6,0,1,0,0.07235467056507734,33545.428272716985
63,0.52558,0.014720000000000007,0,2,0,6,0.040084611085818025,1531.092028586133
64,0.19294666666666668,-0.13205028571428568,6,0,2,0,0.0058035610650695275,14946.255968190382
65,0.003143589743589744,0.0014426373626373636,6,-1,1,0,0.0,953.3477155092294
66,0.3913633333333333,-0.18293799999999996,4,2,4,2,0.0366772265844353,76920.54765709008
67,0.38086666666666663,0.03210857142857144,3,2,2,3,0.2113998816070546,847.1159700222081
68,0.006816666666666666,0.002839591836734693,5,2,3,1,3.5571124025106164,1586.1290931068631
69,0.010129487179487182,0.025876703296703298,4,2,4,1,0.43655550698203066,9453.118034102117
70,0.7360500000000001,-0.1144457142857143,5,2,2,1,0.04074965746571832,5051.031459019039
71,0.004875,-0.0002785714285714291,6,-1,0,0,0.6666666666666666,246.6576574931336
72,0.18862083333333335,0.0030282142857142886,0,2,0,6,0.03844814692852101,2120.736633027936
73,0.022020833333333333,-0.004215857142857143,5,2,3,1,0.3186808416589108,3231.6500687213443
74,0.0031689655172413792,0.00038640394088669983,5,1,3,1,0.0,1445.789749583251
75,0.06970539215686275,0.026775042016806718,6,-1,0,0,4.243183793072631,29408.176627711327
76,0.8443999999999999,0.02900285714285712,5,2,2,1,0.05921039301068267,1285.329996537854
77,0.4846866666666667,-0.15622628571428573,6,0,1,0,0.05893075523209509,16029.163804349453
78,0.00097,1.5445792093896127e-20,6,-1,0,0,1.0,0.0
79,0.8288111111111113,-0.1159047619047619,6,0,0,0,0.049834140394987826,9139.628103301942
80,0.0,0.0,5,1,3,1,0.0,0.0
81,0.2180223404255319,-0.07022145896656533,6,0,0,0,0.04223046288722268,66805.33728004074
82,0.13652916666666667,0.027241031746031773,6,0,1,0,3.3309427830275973,65185.69022645998
83,0.39879444444444445,-0.02933142857142854,6,0,0,0,0.03654807059203965,3821.6169178329046
84,0.2920633333333333,-0.022305999999999975,5,2,2,1,0.03239283568301096,18024.80346263633
85,0.5916633333333333,-0.13358457142857139,6,0,0,0,0.03576310046580606,14588.655557201515
86,0.6948052083333333,0.00539839285714283,6,0,0,0,0.21579657748040112,20478.398730532295
87,0.001625,-0.00021666666666666636,5,2,3,1,1.0,326.2974103482895
88,0.032940625,-0.0011316071428571378,6,0,1,0,0.6897405943728954,2785.061130388344
89,0.2904282051282051,-0.1646896703296703,6,0,1,0,1.3113219776785556,49637.66182513704
90,0.5109083333333334,0.04257857142857145,3,2,2,2,0.10307790113402841,1685.0850918178187
